[Sat Apr 25 10:37:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 10:39:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 10:41:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 10:43:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 10:45:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 10:47:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 10:49:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 10:51:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 10:53:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 10:55:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 10:57:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 10:59:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 11:01:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 11:03:25 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 11:05:26 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 11:07:26 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
[Sat Apr 25 11:09:26 AM CST 2026] Waiting... 2 B8 results missing, v3_ready=true
